Name,Size,Type,Tag,Alignment,CR,[PH],Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,Source,Page
Clockwork Oaken Bolter,Medium,Construct,,Unaligned,5,,,,,,,,,,,x,x,x,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,80
Clockwork Stone Defender,Medium,Construct,,Unaligned,4,,,,,,,,,,,x,x,x,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,80
Cloud Giant Smiling One,Huge,Giant,,Chaotic Neutral,11,,x,,,,,,,,,,,,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,81
Corpse Flower,Large,Plant,,Chaotic Evil,8,,,,,,,,,,,x,,,,x,,,x,,Mordenkainen Presents: Monsters of the Multiverse,82
Cranium Rat,Tiny,Aberration,,Unaligned,0,,,,,,,,,,,,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,83
Swarm of Cranium Rats,Medium,Aberration,Swarm,Lawful Evil,5,,x,,,,,,,,,,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,83
Darkling,Small,Fey,,Chaotic Neutral,1/2,,,,,,,,,,,x,,,,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,84
Darkling Elder,Medium,Fey,,Chaotic Neutral,2,,x,,,,,,,,,x,,,,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,84
Death Kiss,Large,Aberration,beholder,Neutral Evil,10,,,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,85
Deathlock,Medium,Undead,warlock,Neutral Evil,4,,x,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,86
Deathlock Mastermind,Medium,Undead,warlock,Neutral Evil,8,,x,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,87
Deathlock Wight,Medium,Undead,warlock,Neutral Evil,3,,x,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,87
Deep Scion,Medium,Monstrosity,,Chaotic Evil,3,,,,,,,,,x,,,,,,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,88
Demogorgon,Huge,Fiend,demon,Chaotic Evil,26,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,90
Derro,Small,Aberration,,Chaotic Evil,1/4,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,91
Derro Savant,Small,Aberration,sorcerer,Chaotic Evil,3,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,92
Devourer,Large,Undead,,Chaotic Evil,13,,,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,93
Dhergoloth,Medium,Fiend,yugoloth,Neutral Evil,7,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,94
Brontosaurus,Gargantuan,Beast,dinosaur,Unaligned,5,,,,,,,,,,,x,x,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,95
Deinonychus,Medium,Beast,dinosaur,Unaligned,1,,,,,,,,,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,95
Dimetrodon,Medium,Beast,dinosaur,Unaligned,1/4,,,,,,,,,x,,,,,,x,,,,,Mordenkainen Presents: Monsters of the Multiverse,95
Hadrosaurus,Large,Beast,dinosaur,Unaligned,1/4,,,,,,,,,,,,x,,,x,,,,,Mordenkainen Presents: Monsters of the Multiverse,96
Quetzalcoatlus,Huge,Beast,dinosaur,Unaligned,2,,,,,,,,,x,,,,x,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,96
Stegosaurus,Huge,Beast,dinosaur,Unaligned,4,,,,,,,,,,,x,x,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,96
Velociraptor,Tiny,Beast,dinosaur,Unaligned,1/4,,,,,,,,,,,x,x,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,96
Dolphin,Medium,Beast,,Unaligned,1/8,,,,,,,,,x,,,,,,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,97
Dolphin Delighter,Medium,Fey,,Chaotic Good,3,,,,,,,,,x,,,,,,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,97
Draegloth,Large,Fiend,demon,Chaotic Evil,7,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,98
Drow Arachnomancer,Medium,Humanoid,elf,Chaotic Evil,13,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,99
Drow Favored Consort,Medium,Humanoid,"elf, wizard",Any,18,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,100
Drow House Captain,Medium,Humanoid,elf,Any,9,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,101
Drow Inquisitor,Medium,Humanoid,"cleric, elf",Neutral Evil,14,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,102
Drow Matron Mother,Medium,Humanoid,"cleric, elf",Neutral Evil,20,,x,x,x,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,104
Drow Shadowblade,Medium,Humanoid,elf,Any,11,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,105
Duergar Despot,Medium,Humanoid,dwarf,Any,12,,x,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,107
Duergar Kavalrachni,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,107
Duergar Mind Master,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,108
Duergar Soulblade,Medium,Humanoid,dwarf,Any,1,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,109
Duergar Stone Guard,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,110
Duergar Warlord,Medium,Humanoid,dwarf,Any,6,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,111
Duergar Xarrorn,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,111
Duergar Hammerer,Medium,Construct,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,112
Duergar Screamer,Medium,Construct,dwarf,Any,3,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,112
Dybbuk,Medium,Fiend,demon,Chaotic Evil,4,,x,,,,,,,,x,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,113
Eidolon,Medium,Undead,,Any,12,,,,,,,,,x,x,x,x,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,114
Sacred Statue,Large,Construct,,Any,12,,,,,,,,,,x,x,x,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,114
Autumn Eladrin,Medium,Fey,elf,Chaotic Neutral,10,,x,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,115
Spring Eladrin,Medium,Fey,elf,Chaotic Neutral,10,,x,,,,,,,,,x,x,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,116
Summer Eladrin,Medium,Fey,elf,Chaotic Neutral,10,,x,,,,,,,,x,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,116
Winter Eladrin,Medium,Fey,elf,Chaotic Neutral,10,,x,,,,,,x,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,117
Elder Brain,Large,Aberration,mind flayer,Lawful Evil,14,,x,x,x,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,120
Elder Tempest,Gargantuan,Elemental,,Neutral,23,,,x,,,,,x,x,,,x,x,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,121
Air Elemental Myrmidon,Medium,Elemental,,Neutral,7,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,122
Earth Elemental Myrmidon,Medium,Elemental,,Neutral,7,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,122
Fire Elemental Myrmidon,Medium,Elemental,,Neutral,7,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,123
Water Elemental Myrmidon,Medium,Elemental,,Neutral,7,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,123
Fire Giant Dreadnought,Huge,Giant,,Lawful Evil,14,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,124
Firenewt Warlock of Imix,Medium,Elemental,,Neutral Evil,1,,x,,,,,,,,,,,x,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,125
Firenewt Warrior,Medium,Elemental,,Neutral,1/2,,,,,,,,,,x,,,x,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,125
Flail Snail,Large,Elemental,,Unaligned,3,,,,,,,,,,,x,,,,x,x,,,,Mordenkainen Presents: Monsters of the Multiverse,126
Flind,Medium,Fiend,gnoll,Chaotic Evil,9,,,,,,,,,x,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,127
Fraz-Urb'luu,Large,Fiend,demon,Chaotic Evil,23,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,129
Froghemoth,Huge,Monstrosity,,Unaligned,10,,,,,,,,,,,,,,,x,x,,,,Mordenkainen Presents: Monsters of the Multiverse,130
Frost Giant Everlasting One,Huge,Giant,,Chaotic Evil,12,,,,,,,,,x,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,131
Frost Salamander,Huge,Elemental,,Unaligned,9,,,,,,,,x,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,132
Gauth,Medium,Aberration,beholder,Lawful Evil,6,,,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,133
Gazer,Tiny,Aberration,beholder,Neutral Evil,1/2,,,,,,v,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,134
Geryon,Huge,Fiend,devil,Lawful Evil,22,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,136
Giant Strider,Large,Elemental,,Unaligned,1,,,,,,,,,,,,,x,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,137
Giff,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,138
Girallon,Large,Monstrosity,,Unaligned,4,,,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,139
Githyanki Gish,Medium,Humanoid,"gith, wizard",Any,10,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,140
Githyanki Kith'rak,Medium,Humanoid,gith,Any,12,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,140
Githyanki Supreme Commander,Medium,Humanoid,gith,Any,14,,x,x,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,141
Githzerai Anarch,Medium,Humanoid,gith,Any,16,,x,x,x,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,142
Githzerai Enlightened,Medium,Humanoid,gith,Any,10,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,143
Gnoll Flesh Gnawer,Medium,Monstrosity,,Chaotic Evil,1,,,,,,,,x,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,144
Gnoll Hunter,Medium,Monstrosity,,Chaotic Evil,1/2,,,,,,,,x,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,144
Gnoll Witherling,Medium,Undead,,Chaotic Evil,1/4,,,,,,,,x,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,145
Gray Render,Large,Monstrosity,,Chaotic Neutral,12,,,,,,,,,,,x,,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,146
Graz'zt,Large,Fiend,demon,Chaotic Evil,24,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,148
Grung,Small,Humanoid,,Any,1/4,,,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,149
Grung Elite Warrior,Small,Humanoid,,Any,2,,,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,150
Grung Wildling,Small,Humanoid,,Any,1,,x,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,150
Guard Drake,Medium,Dragon,,Unaligned,2,,,,,,,,x,,x,x,,,x,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,151
Hellfire Engine,Huge,Construct,,Lawful Evil,16,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,152
Hobgoblin Devastator,Medium,Fey,goblinoid,Lawful Neutral,4,,x,,,,,,,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,153
Hobgoblin Iron Shadow,Medium,Fey,goblinoid,Lawful Neutral,2,,x,,,,,,,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,154
Howler,Large,Fiend,,Chaotic Evil,8,,,,,,,,,,x,,x,x,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,155
Hutijin,Large,Fiend,devil,Lawful Evil,21,,x,x,,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,157
Hydroloth,Medium,Fiend,yugoloth,Neutral Evil,9,,x,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,158
Juiblex,Huge,Fiend,demon,Chaotic Evil,23,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,160
Ki-Rin,Large,Celestial,,Lawful Good,12,,x,x,x,,,,,x,x,,x,,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,162
Kobold Dragonshield,Small,Dragon,,Any,1,,,,,,,,,,,x,,x,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,163
Kobold Inventor,Small,Humanoid,,Any,1/4,,,,,,,,,,,x,,x,x,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,164
Kobold Scale Sorcerer,Small,Humanoid,,Any,1,,x,,,,,,,,,x,,x,x,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,165
Korred,Small,Fey,,Chaotic Neutral,7,,x,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,166
Kraken Priest,Medium,Monstrosity,,Chaotic Evil,5,,x,,,,,,,x,,,,,,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,167
Young Kruthik,Small,Monstrosity,,Unaligned,1/8,,,,,,,,,,x,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,168
Adult Kruthik,Medium,Monstrosity,,Unaligned,2,,,,,,,,,,x,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,169
Kruthik Hive Lord,Large,Monstrosity,,Unaligned,5,,,,,,,,,,x,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,169
Leucrotta,Large,Monstrosity,,Chaotic Evil,3,,,,,,,,,,x,,x,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,170
Leviathan,Gargantuan,Elemental,,Neutral,20,,,x,,,,,,x,,,,,,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,171
Martial Arts Adept,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,172
Marut,Large,Construct,inevitable,Lawful Neutral,25,,,,,,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,173
Master Thief,Medium,Humanoid,,Any,5,,,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,174
Maurezhi,Medium,Fiend,demon,Chaotic Evil,7,,,,,,,,,,,,,,,x,,,x,,Mordenkainen Presents: Monsters of the Multiverse,175
Maw Demon,Medium,Fiend,demon,Chaotic Evil,1,,,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,176
Meazel,Medium,Monstrosity,,Neutral Evil,1,,,,,,,,,,x,x,x,x,x,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,177
Meenlock,Small,Fey,,Neutral Evil,2,,,,,,,,,,,x,,,,x,,,x,,Mordenkainen Presents: Monsters of the Multiverse,178
Merregon,Medium,Fiend,devil,Lawful Evil,4,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,179
Merrenoloth,Medium,Fiend,yugoloth,Neutral Evil,3,,x,,x,,,,,x,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,180
Mindwitness,Large,Aberration,,Lawful Neutral,5,,,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,181
Moloch,Large,Fiend,devil,Lawful Evil,21,,x,x,,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,183
Molydues,Huge,Fiend,demon,Chaotic Evil,21,,x,x,,,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,184
Morkoth,Large,Aberration,,Chaotic Evil,11,,x,,x,,,,,x,,,,,,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,186
Mouth of Grolantor,Huge,Giant,hill giant,Chaotic Evil,6,,,,,,,,,,,,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,187
Nabassu,Medium,Fiend,demon,Chaotic Evil,15,,,,,,,,,,,,,,,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,188
Nagpa,Medium,Monstrosity,wizard,Neutral Evil,17,,x,,,,,,,x,x,x,,,,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,189
Narzugon,Medium,Fiend,devil,Lawful Evil,13,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,190
Neogi Hatchling,Tiny,Aberration,,Lawful Evil,1/8,,,,,,,,,,,,,x,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,191
Neogi,Small,Aberration,,Lawful Evil,3,,,,,,,,,,,,,x,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,192
Neogi Master,Medium,Aberration,warlock,Lawful Evil,4,,x,,,,,,,,,,,x,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,192
Neothelid,Gargantuan,Aberration,,Chaotic Evil,13,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,193
Nightwalker,Huge,Undead,,Chaotic Evil,20,,,,,,,,x,,x,,,,,x,x,,,,Mordenkainen Presents: Monsters of the Multiverse,194
Nilbog,Small,Fey,goblinoid,Chaotic Neutral,1,,x,,,,,,,,,x,,x,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,195
Nupperibo,Medium,Fiend,devil,Lawful Evil,1/2,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,196
Oblex Spawn,Tiny,Ooze,,Lawful Evil,1/4,,,,,,,,,,,,,,,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,197
Adult Oblex,Medium,Ooze,,Lawful Evil,5,,x,,,,,,,,,,,,,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,198
Elder Oblex,Huge,Ooze,,Lawful Evil,10,,x,,,,,,,,,,,,,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,199
Ogre Battering Ram,Large,Giant,,Chaotic Evil,4,,,,,,,,,,,,x,x,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,200
Ogre Bolt Launcher,Large,Giant,,Chaotic Evil,2,,,,,,,,,,,,x,x,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,200
Ogre Chain Brute,Large,Giant,,Chaotic Evil,3,,,,,,,,,,,,x,x,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,201
Ogre Howdah,Large,Giant,,Chaotic Evil,2,,,,,,,,,,,,x,x,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,201
Oinoloth,Medium,Fiend,yugoloth,Neutral Evil,12,,x,,,,,,,,x,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,202
Orcus,Huge,Fiend,demon,Chaotic Evil,26,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,204
Orthon,Large,Fiend,devil,Lawful Evil,10,,,,,,,,,,x,,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,205
Phoenix,Gargantuan,Elemental,,Neutral,16,,,x,,,,,,,x,,,,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,206
Quickling,Tiny,Fey,,Chaotic Evil,1,,,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,207
Redcap,Small,Fey,,Chaotic Evil,3,,,,,,,,,,,x,,x,,x,,,,,Mordenkainen Presents: Monsters of the Multiverse,208
Retriever,Large,Construct,,Lawful Evil,14,,x,,,,,,,,x,x,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,209
Rutterkin,Medium,Fiend,demon,Chaotic Evil,2,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,210
Sea Spawn,Medium,Monstrosity,,Neutral Evil,1,,,,,,,,,x,,,,,,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,211
Shadar-Kai Gloom Weaver,Medium,Humanoid,elf,Neutral Evil,9,,x,,,,,,,,,,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,213
Shadar-Kai Shadow Dancer,Medium,Humanoid,elf,Any,7,,,,,,,,,,,x,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,213
Shadar-Kai Soul Monger,Medium,Humanoid,elf,Neutral Evil,11,,x,,,,,,,,,,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,214
Shadow Mastiff,Medium,Monstrosity,,Neurtral Evil,2,,,,,,,,,,,x,,x,,x,,,,,Mordenkainen Presents: Monsters of the Multiverse,215
Shadow Mastiff Alpha,Medium,Monstrosity,,Neutral Evil,3,,,,,,,,,,,x,,x,,x,,,,,Mordenkainen Presents: Monsters of the Multiverse,215
Shoosuva,Large,Fiend,demon,Chaotic Evil,8,,,,,,,,,x,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,216
Sibriex,Huge,Fiend,demon,Chaotic Evil,18,,x,x,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,217
Skulk,Medium,Monstrosity,,Chaotic Neutral,1/2,,,,,,,,,x,,x,,,,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,219
Skull Lord,Medium,Undead,sorcerer,Lawful Evil,15,,x,x,,,,,,,x,,,,,x,x,,,,Mordenkainen Presents: Monsters of the Multiverse,220
Slithering Tracker,Medium,Ooze,,Chaotic Evil,3,,,,,,,,,,,,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,221
Angry Sorrowsworn,Medium,Monstrosity,,Neutral Evil,13,,,,,,,,,,,,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,222
Hungry Sorrowsworn,Medium,Monstrosity,,Neutral Evil,11,,,,,,,,,,,x,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,223
Lonely Sorrowsworn,Medium,Monstrosity,,Neutral Evil,9,,,,,,,,,x,x,,,,x,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,223
Lost Sorrowsworn,Medium,Monstrosity,,Neutral Evil,7,,,,,,,,x,,x,x,,,x,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,224
Wretched Sorrowsworn,Small,Monstrosity,,Neutral Evil,1/4,,,,,,,,,,,,,,,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,224
Spawn of Kyuss,Medium,Undead,,Chaotic Evil,5,,,,,,,,,,x,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,225
Star Spawn Grue,Small,Aberration,,Neutral Evil,1/4,,,,,,,,,,,,,,x,x,,,,,Mordenkainen Presents: Monsters of the Multiverse,227
Star Spawn Hulk,Large,Aberration,,Chaotic Evil,10,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,227
Star Spawn Larve Mage,Medium,Aberration,,Chaotic Evil,16,,x,x,,,,,,,,,,,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,228
Star Spawn Mangler,Medium,Aberration,,Chaotic Evil,5,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,229
Star Spawn Seer,Medium,Aberration,,Neutral Evil,13,,,,,,,,,,,,,,x,x,,,x,,Mordenkainen Presents: Monsters of the Multiverse,230
Female Steeder,Large,Monstrosity,,Unaligned,1,,,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,231
Male Steeder,Medium,Monstrosity,,Unaligned,1/4,,,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,231
Steel Predator,Large,Construct,,Lawful Neutral,16,,x,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,232
Stone Cursed,Medium,Construct,,Lawful Evil,1,,,,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,233
Stone Giant Dreamwalker,Huge,Giant,,Chaotic Neutral,10,,,,,,,,,x,,,,x,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,234
Storm Giant Quintessent,Huge,Giant,,Chaotic Good,16,,,x,x,,,,,x,x,,,,x,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,235
Swarm of Rot Grubs,Medium,Beast,swarm,Unaligned,1/2,,,,,,,,,,,,,,,x,x,,,,Mordenkainen Presents: Monsters of the Multiverse,237
Swashbuckler,Medium,Humanoid,,Any,3,,,,,,,,,x,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,238
Sword Wraith Commander,Medium,Undead,,Lawful Evil,8,,,,,,,,,,,,x,,,x,,,,,Mordenkainen Presents: Monsters of the Multiverse,239
Sword Wraith Warrior,Medium,Undead,,Lawful Evil,3,,,,,,,,,,,,x,,,x,,,,,Mordenkainen Presents: Monsters of the Multiverse,239
Tanarukk,Medium,Fiend,demon,Chaotic Evil,5,,,,,,,,,,,,,x,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,240
Titivilus,Medium,Fiend,devil,Lawful Evil,16,,x,x,,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,242
Tlincalli,Large,Monstrosity,,Neutral,5,,,,,,,,,,x,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,243
Tortle,Medium,Humanoid,,Any,1/4,,,,,,,,,x,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,244
Tortle Druid,Medium,Humanoid,,Any,2,,x,,,,,,,x,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,244
Trapper,Large,Monstrosity,,Unaligned,3,,,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,245
Dire Troll,Huge,Giant,,Chaotic Evil,13,,,,,,,,x,,,x,,x,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,246
